,Link
0,['https://www.ligamagic.com.br/?view=cards/search&card=ed=snc;psnc;assnc;blsnc;sssnc;gasnc;fesnc;adsnc;tsnc']
1,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479945 ed=2x2']
2,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479921 ed=tsnc']
3,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479874 ed=asmid']
4,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479929 ed=sld102']
5,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479865 ed=cbmid']
6,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479939 ed=sld92']
7,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479956 ed=sld72']
8,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479947 ed=dmu']
9,['https://www.ligamagic.com.br/?view=cards/search&card=ed=clb;asclb;blclb;exclb;feclb;pclb;rbclb;tclb']
10,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479933 ed=sld98']
11,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479909 ed=gasnc']
12,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479934 ed=sld97']
13,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479893 ed=vnec']
14,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479944 ed=sld84']
15,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479925 ed=sld106']
16,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479876 ed=vow']
17,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479902 ed=assnc']
18,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479880 ed=vvoc']
19,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479966 ed=sld63']
20,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479916 ed=pclb']
21,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479938 ed=sld93']
22,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479914 ed=exclb']
23,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479905 ed=yneo']
24,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479957 ed=sld71']
25,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479864 ed=mid']
26,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479871 ed=cmb2']
27,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479926 ed=sld105']
28,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479906 ed=blsnc']
29,['https://www.ligamagic.com.br/?view=cards/search&card=ed=ncc;vncc;tncc']
30,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479887 ed=y22']
31,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479948 ed=dmc']
32,['https://www.ligamagic.com.br/?view=cards/search&card=ed=unf;vunf;prunf']
33,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479913 ed=blclb']
34,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479969 ed=sld60']
35,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479946 ed=40k']
36,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479936 ed=sld95']
37,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479872 ed=mic']
38,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479910 ed=fesnc']
39,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479908 ed=sssnc']
40,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479911 ed=clb']
41,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479920 ed=slx']
42,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479972 ed=sld57']
43,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479950 ed=sld78']
44,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479897 ed=p22']
45,['https://www.ligamagic.com.br/?view=cards/search&card=ed=neo;vneo;pneo;asneo;nec;vnec']
46,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479931 ed=sld100']
47,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479959 ed=tclb']
48,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479937 ed=sld94']
49,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479963 ed=sld66']
50,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479904 ed=vncc']
51,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479928 ed=sld103']
52,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479968 ed=sld61']
53,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479888 ed=neo']
54,['https://www.ligamagic.com.br/?view=cards/search&card=ed=vow;vvow;prvow;voc;vvoc;asvow']
55,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479903 ed=ncc']
56,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479941 ed=sld81']
57,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479973 ed=sld56']
58,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479912 ed=asclb']
59,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479940 ed=sld80']
60,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479943 ed=sld83']
61,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479890 ed=pneo']
62,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479899 ed=snc']
63,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479901 ed=psnc']
64,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479882 ed=dbl']
65,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479877 ed=vvow']
66,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479891 ed=asneo']
67,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479870 ed=cc2']
68,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479889 ed=vneo']
69,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479932 ed=sld99']
70,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479886 ed=prunf']
71,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479924 ed=sld107']
72,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479953 ed=sld75']
73,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479949 ed=sld79']
74,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479879 ed=voc']
75,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479885 ed=vunf']
76,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479919 ed=adsnc']
77,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479881 ed=asvow']
78,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479922 ed=tncc']
79,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479971 ed=sld58']
80,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479954 ed=sld74']
81,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479965 ed=sld64']
82,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479964 ed=sld65']
83,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479866 ed=prmid']
84,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479951 ed=sld77']
85,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479958 ed=sld70']
86,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479918 ed=prm']
87,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479960 ed=sld69']
88,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479898 ed=pwp22']
89,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479930 ed=sld101']
90,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479875 ed=q06']
91,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479917 ed=rbclb']
92,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479873 ed=vmic']
93,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479878 ed=prvow']
94,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479892 ed=nec']
95,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479967 ed=sld62']
96,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479961 ed=sld68']
97,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479884 ed=unf']
98,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479915 ed=feclb']
99,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479955 ed=sld73']
100,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479970 ed=sld59']
101,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479952 ed=sld76']
102,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479942 ed=sld82']
103,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479927 ed=sld104']
104,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479935 ed=sld96']
105,['https://www.ligamagic.com.br/?view=cards/search&card=ed=mid;cbmid;prmid;mic;vmic;asmid']
106,['https://www.ligamagic.com.br/?view=cards/search&card=edid=479962 ed=sld67']
